pos	char_start	char_end	token_id	uid	token_str	tail	fp_hex	hd_token_fp	is_green	n_attacked_chars_in_prev_window	attacked_chars_in_prev_window
79	319	327	8903	6432824	 reality	-powered augmented	e3d84cd0045236135bb94ae8e6891279f6d0acb082e509403cff083c28d89694	126	1	0	
80	327	329	320	16974376	 (	 augmented reality	da1c6450250a13b33ac902ca266a33de6cd6bda95eb5631d809d820980dcf22c	120	1	0	
81	329	331	946	16929683	AR	ugmented reality (	721e6412b50a93b33ed40ada2662b0bf2ed49f89dc356b0fa695820b92dcf220	137	0	0	
82	331	332	8	16974377	)	mented reality (AR	569e2402b5019bb13c8823f72d60b01e6ed293abdcbd6b1aa281aa0f93d47224	129	0	0	
83	332	340	2883	7227967	 company	ented reality (AR)	529e2004b90b93b73e8833f30c60f0166ed217ab5c3c299a8281e20f83d47330	123	1	0	
84	340	345	430	6433597	 that	ality (AR) company	ca52f002e985b3b614cb3af30863e444b7f903c9271021022201260d025eab50	121	1	0	
85	345	353	24400	6567480	 focuses	 (AR) company that	ee72db1c69875bb613cfba3b102740c5b6b577992312250d8a3b4615047e4ee2	128	1	0	
86	353	356	389	16936925	 on	mpany that focuses	6b004be8018cd8b6c2a7519b3006125fae3ff607225b9d4a9f2a46343464488c	146	0	0	
87	356	365	6968	6700346	 creating	ny that focuses on	6f00cae8201cc526e22351bea106667fa675e605287f9d5b9d2a06d830754888	116	1	0	
88	365	370	1579	6830136	 high	ocuses on creating	e008e8f8901124a412db4136af04c6594f3c4a660c08b04eca8a36d35240d8b1	124	1	0	
89	370	378	22867	7756819	-quality	s on creating high	8009e87c804a0c8c40fb04b29b1406194dc41a484c088d4fee4a34d3134483b5	123	1	0	
90	378	379	11	16974380	,	ating high-quality	094526fef008801250b00084b8c6309a87259a49832d275fc69e2aa601409224	138	0	0	
91	379	389	65280	7227459	 immersive	ting high-quality,	2d4d37fcf008807249f020a492c6379086258a29830d27df869e2aa70142b224	131	0	0	
92	389	392	6395	16929683	 AR	quality, immersive	43cb3d3eb24c837bb15941d007d417584f64a78060e762968e803c8f234e9833	116	1	0	
93	392	404	11704	7428429	 experiences	lity, immersive AR	c7cbb72c920c1b79a359c1c11751535446cca78260c752b686b3348f254fb8b7	122	1	0	
94	404	410	1701	6964817	 using	ive AR experiences	05e960003f24f00ebfc809a5145b2bad571a88e0e2023c3f35cd7024472f60f8	130	0	0	
95	410	414	1202	7625552	 its	 experiences using	556322201b28f0889fe022b53c5a26ab5b3288a98090b93d615771f857ae11e8	125	1	0	
96	414	426	34333	7360849	 proprietary	eriences using its	7b171602112ab408ab778a23341086aac1388aa89a85311d841334f0dbe635e8	122	1	0	
97	426	427	220	16974592	 	ng its proprietary	cf401093e0dbb42987d504802996cd68316edbf2db8b6c2f1f2f14074043fe37	130	0	0	
98	427	428	23	16974392	8	g its proprietary 	cf401093e0dbb42987d504802996cd68316edbf2db8b6c2f1f2f14074043fe37	137	0	0	
99	428	429	72	16974441	i	 its proprietary 8	4768d09360cbfcab8df5cc802896cd58314471b2528bec2f196e14630071ea3f	137	0	0	
100	429	437	40985	7422484	 Capture	its proprietary 8i	4f68d08320cbbca98ff504802186cd89204475a2128bec2b1c4e106300197a2f	125	1	0	
101	437	448	5557	6564924	 technology	rietary 8i Capture	5cc59b138269bd1103d4580035e3cf9808d4c42241896e29294ca2c389c04279	135	0	0	
102	448	450	627	16911160	.\n	Capture technology	d140588ee2612b104374201a0d858d96898060c79e6f0182a03085cb6d404245	115	1	0	
103	450	451	2118	10336766	“	pture technology.\n	d140580fe0610a184560201a0f958f9698c060439e7f0182f03085cb6d404660	128	0	0	
104	451	454	1226	16934588	 We	ture technology.\n“	4010ddcfb0428c38446020de29948cb6d9090043966f5184f011c44a75414244	120	1	0	
105	454	462	4510	7159347	 believe	e technology.\n“ We	c540d96fa4c28c2b0474021a6a8485b6990160475e4f698ef001855975510e44	121	1	0	
106	462	467	430	6433597	 that	logy.\n“ We believe	bbfa93bdaf04244a40e689856e68250398154c2a524b61bdac093d7a30d12a44	125	1	0	
107	467	473	63920	7161937	 volum	\n“ We believe that	a2cd92310b4c24824105990d3a78210b989d6ca842df6339bc18380a30817f4c	119	1	0	
108	473	478	16743	7559499	etric	believe that volum	6a5f12316748148622c09909225c224e199f0e8aecd76231186a440ab2215dcc	117	1	0	
109	478	484	2835	6632003	 video	ve that volumetric	6d831a7057d1d61620e23058b35c6c6afdc78a0ae6d74afd5abb540bb223599c	136	0	0	
110	484	489	690	7160396	 will	t volumetric video	ef275be197235dd020e0407ab3dc4c4ef963224de2d1eafd5f9fc44b2274701c	150	0	0	
111	489	492	387	16934599	 be	umetric video will	cfb72bab956b5fe0a0d143b2f1de5f0edb69304520f568b984bf6009324c3024	121	1	0	
112	492	494	264	16974433	 a	tric video will be	d68f2b8b937b3868a5d1c382f1da3a14db2920d502b93cab10bf400716cc3026	120	1	0	
113	494	499	1847	7224373	 game	ic video will be a	d287abe9533b3860a7514382f1d838c45b2b20c592b83ca9002e7001d6cd302b	114	1	0	
114	499	502	11843	6894584	-ch	deo will be a game	92d68bf452394ae292d153c4c59bb341db0b086109ac0d8118687001444918f1	134	0	0	
115	502	507	4091	6831414	anger	 will be a game-ch	90c09fe0422948ead3516b46f59fb141920bac6509141599316d5509044348e9	127	1	0	
116	507	511	369	7558215	 for	 be a game-changer	80c3bbcc72cf48fa7371674ef50ff573920baf21810405c80b4bc58846018a88	138	0	0	
117	511	514	6395	16929683	 AR	a game-changer for	50618fc873570af67361a25ef40f6973d228af480126554c2f8b850cc2819008	124	1	0	
118	514	518	323	6633267	 and	ame-changer for AR	9c23efc876c62a3273692e4bb60368bdda2cab088026844c3f938d4cc301222c	125	1	0	
119	518	526	4200	7556689	 virtual	changer for AR and	9d0360886e603276e17f110bb60b5bbd4224e108902796ccad13ecc4d280a86e	126	1	0	
120	526	534	8903	6432824	 reality	for AR and virtual	eff9210a0ab03cf7893697d9506a5e1e225dd109b28706d2ad272cc915160a06	122	1	0	
121	534	535	11	16974380	,	nd virtual reality	4298bf00190e1657bcb596d5402ef3584c355bc8b6c4b5f980c21a1b1c401a14	123	1	0	
122	535	539	323	6633267	 and	d virtual reality,	4298bf00190e1f57b8f5969540aef7504c355b88b6c5b5dd84da1a1b1c543a16	118	1	0	
123	539	543	279	6697793	 the	rtual reality, and	538c15181d4a1611bcdd4297802ee3504c264ab8f4d0937d84ca1a598c5e7632	123	1	0	
124	543	550	7195	7752770	 launch	l reality, and the	524c57d82b0b13543cdc0397882e22987c24cbf87482313086831819194cf730	129	0	0	
125	550	553	315	16934869	 of	ty, and the launch	511d77d948308ac428d42893cc3942883da8cc38c59058f2d0e39d710e6b8484	130	0	0	
126	553	557	1057	7559766	 our	 and the launch of	713d76d96a348ac4a7f46b92c8a1408139a8886cc7d94e92dd83b531146b8801	129	0	0	
127	557	561	3566	6498878	 web	 the launch of our	f420f17876362980e0e46b9ac0e980c13902883ca3d1469398e092b580c9aa81	128	1	0	
128	561	568	2851	6434621	 player	 launch of our web	f003793876340ba0f8456bbce0fdc0d11902814ca1e922dbc88a10e1828e4c81	127	1	0	
129	568	571	374	16938204	 is	 of our web player	c407797efeb231004845eaca285683944c41a14aada7048ba4a9dc84caaeeee4	144	0	0	
130	571	573	264	16974433	 a	 our web player is	c40f7d56beb271044844eee8688493876cc1a046e9e68000a4aadc84c826de60	128	1	0	
131	573	579	3682	7026232	 major	ur web player is a	44ef7f76bef1724488446cca280493836cc9a64a4805988aa5abccb4c0669a40	128	1	0	
132	579	584	3094	6700876	 step	 player is a major	419d356aaadb6c40034c7cb8e164830a0c4cdbaa7975dab2a0ab48b68060fb71	119	1	0	
133	584	592	4741	7558215	 forward	er is a major step	519c174aeb01ce22434c98a2a17327020e89db3e74774ab60a2b41b4cd51fb11	123	1	0	
134	592	595	304	16936919	 in	major step forward	18020dcaf5019028c122908422732a0078c8c50e76576a7c872bc5861854bc02	126	1	0	
135	595	602	3339	7092281	 making	or step forward in	18238dc870458820c9b099e63c51234098c8a54a5653626583899c8000599dc6	132	0	0	
136	602	607	420	6961989	 this	 forward in making	50aaebd8506c9241b6bbad865dd123e99c029d0f5273767184894ca0c059e8ce	131	0	0	
137	607	618	5557	6564924	 technology	ard in making this	306bebd8576e986170fbcf00d894c32a85039ed600326471dc816ec147c9c9da	124	1	0	
138	618	629	15987	6564391	 accessible	ng this technology	f1506947e3c20a4246f101bee199cda6950110d72d7c6702b474cd596540ce44	143	0	0	
139	629	632	311	16937187	 to	hnology accessible	154e84476442495d622964c6a8005e1fc5170d4f64372504ed50049560458e58	142	0	0	
140	632	641	5127	6701376	 everyone	logy accessible to	154684c3355350d46128c4c52a407a3fc51d0d4f6534370569509415ec4da2d8	119	1	0	
141	641	643	2476	8512398	,”	ssible to everyone	186344c2375950803d77b459b842405b9a2b6a35886061450be1d04931092350	129	0	0	
142	643	648	1071	6960189	 said	ible to everyone,”	387b4546725952b839f7a451b842125b8a29607518e068614be4c0cd9d8d2936	120	1	0	
143	648	655	13929	6633235	 Andrew	to everyone,” said	2a736046667a62af5df22c79f848c74f4e6071f038d16a23012641d901052b16	120	1	0	
144	655	662	52871	7559721	 Burger	yone,” said Andrew	2231294662eaf6e5e5d0aee04042635f026031d0249d76962912481118856781	127	1	0	
145	662	663	11	16974380	,	said Andrew Burger	1106d9076f2de221f54880a0805348d880644041060141929854d8616886450b	130	0	0	
146	663	667	12432	5235671	 CEO	aid Andrew Burger,	1506dc034f6de201f76880a284d3489b035770410c517192b858d8616884450b	135	0	0	
147	667	670	315	16934869	 of	Andrew Burger, CEO	b52e98c02c49c229e52d80e4905b581800377640244121c1ac5f94e56c860543	132	0	0	
148	670	671	220	16974592	 	rew Burger, CEO of	8c2edaf2ed098289e43d83e09c0a503a80b5660c345201056c5796e50e66456b	128	1	0	
149	671	672	23	16974392	8	ew Burger, CEO of 	8c2edaf2ed098289e43d83e09c0a503a80b5660c345201056c5796e50e66456b	127	1	0	
150	672	673	72	16974441	i	w Burger, CEO of 8	ad2efad2ec498299601d13e49cca54ba00b04604b0320b158e5386e50f660123	128	0	0	
151	673	675	627	16911160	.\n	 Burger, CEO of 8i	acae7ad2ed499099e03d13a894ca55b800b20444b0330a112f5396e10e770503	122	1	0	
152	675	676	23	16974392	8	urger, CEO of 8i.\n	2c2e7ad2fd099999603e13e896ce55b800922444343096102f4382e50a572503	124	1	0	
153	676	677	72	16974441	i	rger, CEO of 8i.\n8	ac26629c9c01899160175fae074a15ba00927400343106513f5387a50a571503	131	0	0	
154	677	684	34831	7558193	 Portal	ger, CEO of 8i.\n8i	3d0a62969e219989e0165fec0756159a00b27000341546503f5385e502170500	123	1	0	
155	684	685	25	16974394	:	O of 8i.\n8i Portal	6c1ed4121d302d24c7125c48477dbfb8a0a674059595c27a909940295219a502	103	1	0	
156	685	689	578	6697761	 The	 of 8i.\n8i Portal:	2c9ad0921d3a4da0c1125c0c655dbbb88826540c9795c230b0994121521be602	124	1	0	
